Exch	ExchType	Name	Expiry	ScripType	StrikeRate	LotSize	QtyLimit	ScripCode
N	D	NIFTY 26 JUN 2025 PE 17150.00	6/26/2025	PE	17150	75	1800	42162
N	D	NIFTY 26 JUN 2025 CE 17200.00	6/26/2025	CE	17200	75	1800	42163
N	D	NIFTY 26 JUN 2025 PE 17200.00	6/26/2025	PE	17200	75	1800	42164
N	D	NIFTY 26 JUN 2025 CE 17250.00	6/26/2025	CE	17250	75	1800	42165
N	D	NIFTY 26 JUN 2025 PE 17250.00	6/26/2025	PE	17250	75	1800	42166
N	D	NIFTY 26 JUN 2025 CE 17300.00	6/26/2025	CE	17300	75	1800	42167
N	D	NIFTY 26 JUN 2025 PE 17300.00	6/26/2025	PE	17300	75	1800	42168
N	D	NIFTY 26 JUN 2025 CE 17350.00	6/26/2025	CE	17350	75	1800	42169
N	D	NIFTY 26 JUN 2025 PE 17350.00	6/26/2025	PE	17350	75	1800	42170
N	D	NIFTY 26 JUN 2025 CE 17400.00	6/26/2025	CE	17400	75	1800	42171
N	D	NIFTY 26 JUN 2025 PE 17400.00	6/26/2025	PE	17400	75	1800	42172
N	D	NIFTY 26 JUN 2025 CE 17450.00	6/26/2025	CE	17450	75	1800	42173
N	D	NIFTY 26 JUN 2025 PE 17450.00	6/26/2025	PE	17450	75	1800	42177
N	D	NIFTY 26 JUN 2025 CE 17500.00	6/26/2025	CE	17500	75	1800	42178
N	D	NIFTY 26 JUN 2025 PE 17500.00	6/26/2025	PE	17500	75	1800	42180
N	D	NIFTY 26 JUN 2025 CE 17550.00	6/26/2025	CE	17550	75	1800	42181
N	D	NIFTY 26 JUN 2025 PE 17550.00	6/26/2025	PE	17550	75	1800	42182
N	D	NIFTY 26 JUN 2025 CE 17600.00	6/26/2025	CE	17600	75	1800	42183
N	D	NIFTY 26 JUN 2025 PE 17600.00	6/26/2025	PE	17600	75	1800	42184
N	D	NIFTY 26 JUN 2025 CE 29650.00	6/26/2025	CE	29650	75	1800	42505
N	D	NIFTY 26 JUN 2025 PE 29650.00	6/26/2025	PE	29650	75	1800	42506
N	D	NIFTY 26 JUN 2025 CE 29700.00	6/26/2025	CE	29700	75	1800	42507
N	D	NIFTY 26 JUN 2025 PE 29700.00	6/26/2025	PE	29700	75	1800	42508
N	D	NIFTY 26 JUN 2025 CE 14000.00	6/26/2025	CE	14000	75	1800	43385
N	D	NIFTY 26 JUN 2025 PE 14000.00	6/26/2025	PE	14000	75	1800	43386
N	D	NIFTY 26 JUN 2025 CE 30350.00	6/26/2025	CE	30350	75	1800	43549
N	D	NIFTY 26 JUN 2025 PE 30350.00	6/26/2025	PE	30350	75	1800	43550
N	D	NIFTY 26 JUN 2025 CE 9000.00	6/26/2025	CE	9000	75	1800	45798
N	D	NIFTY 26 JUN 2025 PE 9000.00	6/26/2025	PE	9000	75	1800	45799
N	D	NIFTY 26 JUN 2025 CE 10000.00	6/26/2025	CE	10000	75	1800	45800
N	D	NIFTY 26 JUN 2025 PE 10000.00	6/26/2025	PE	10000	75	1800	45804
N	D	NIFTY 26 JUN 2025 CE 34000.00	6/26/2025	CE	34000	75	1800	45806
N	D	NIFTY 26 JUN 2025 PE 34000.00	6/26/2025	PE	34000	75	1800	45809
N	D	NIFTY 26 JUN 2025 CE 35000.00	6/26/2025	CE	35000	75	1800	45810
N	D	NIFTY 26 JUN 2025 PE 35000.00	6/26/2025	PE	35000	75	1800	45828
N	D	NIFTY 26 JUN 2025 CE 36000.00	6/26/2025	CE	36000	75	1800	45829
N	D	NIFTY 26 JUN 2025 PE 36000.00	6/26/2025	PE	36000	75	1800	45830
N	D	NIFTY 26 JUN 2025 CE 37000.00	6/26/2025	CE	37000	75	1800	45831
N	D	NIFTY 26 JUN 2025 PE 37000.00	6/26/2025	PE	37000	75	1800	45835
N	D	NIFTY 26 JUN 2025 CE 38000.00	6/26/2025	CE	38000	75	1800	45836
N	D	NIFTY 26 JUN 2025 PE 38000.00	6/26/2025	PE	38000	75	1800	45837
N	D	NIFTY 26 JUN 2025 CE 17000.00	6/26/2025	CE	17000	75	1800	45865
N	D	NIFTY 26 JUN 2025 PE 17000.00	6/26/2025	PE	17000	75	1800	45866
N	D	NIFTY 26 JUN 2025 CE 29750.00	6/26/2025	CE	29750	75	1800	46933
N	D	NIFTY 26 JUN 2025 PE 29750.00	6/26/2025	PE	29750	75	1800	46936
N	D	NIFTY 26 JUN 2025 CE 29800.00	6/26/2025	CE	29800	75	1800	46937
N	D	NIFTY 26 JUN 2025 PE 29800.00	6/26/2025	PE	29800	75	1800	46938
N	D	NIFTY 26 JUN 2025 CE 29850.00	6/26/2025	CE	29850	75	1800	46939
N	D	NIFTY 26 JUN 2025 PE 29850.00	6/26/2025	PE	29850	75	1800	46940
N	D	NIFTY 26 JUN 2025 CE 29900.00	6/26/2025	CE	29900	75	1800	46941
N	D	NIFTY 26 JUN 2025 PE 29900.00	6/26/2025	PE	29900	75	1800	46942
N	D	NIFTY 26 JUN 2025 CE 29950.00	6/26/2025	CE	29950	75	1800	46943
N	D	NIFTY 26 JUN 2025 PE 29950.00	6/26/2025	PE	29950	75	1800	46954
N	D	NIFTY 26 JUN 2025 CE 30050.00	6/26/2025	CE	30050	75	1800	46955
N	D	NIFTY 26 JUN 2025 PE 30050.00	6/26/2025	PE	30050	75	1800	46958
N	D	NIFTY 26 JUN 2025 CE 30100.00	6/26/2025	CE	30100	75	1800	46959
N	D	NIFTY 26 JUN 2025 PE 30100.00	6/26/2025	PE	30100	75	1800	46960
N	D	NIFTY 26 JUN 2025 CE 30150.00	6/26/2025	CE	30150	75	1800	46961
N	D	NIFTY 26 JUN 2025 PE 30150.00	6/26/2025	PE	30150	75	1800	46962
N	D	NIFTY 26 JUN 2025 CE 33000.00	6/26/2025	CE	33000	75	1800	47181
N	D	NIFTY 26 JUN 2025 PE 33000.00	6/26/2025	PE	33000	75	1800	47182
N	D	NIFTY 26 JUN 2025 CE 8000.00	6/26/2025	CE	8000	75	1800	48039
N	D	NIFTY 26 JUN 2025 PE 8000.00	6/26/2025	PE	8000	75	1800	48040
N	D	NIFTY 26 JUN 2025 CE 29150.00	6/26/2025	CE	29150	75	1800	48110
N	D	NIFTY 26 JUN 2025 PE 29150.00	6/26/2025	PE	29150	75	1800	48111
N	D	NIFTY 26 JUN 2025 CE 29200.00	6/26/2025	CE	29200	75	1800	48112
N	D	NIFTY 26 JUN 2025 PE 29200.00	6/26/2025	PE	29200	75	1800	48113
N	D	NIFTY 26 JUN 2025 CE 29250.00	6/26/2025	CE	29250	75	1800	48114
N	D	NIFTY 26 JUN 2025 PE 29250.00	6/26/2025	PE	29250	75	1800	48115
N	D	NIFTY 26 JUN 2025 CE 29300.00	6/26/2025	CE	29300	75	1800	48116
N	D	NIFTY 26 JUN 2025 PE 29300.00	6/26/2025	PE	29300	75	1800	48117
N	D	NIFTY 26 JUN 2025 CE 29350.00	6/26/2025	CE	29350	75	1800	48118
N	D	NIFTY 26 JUN 2025 PE 29350.00	6/26/2025	PE	29350	75	1800	48119
N	D	NIFTY 26 JUN 2025 CE 29400.00	6/26/2025	CE	29400	75	1800	48120
N	D	NIFTY 26 JUN 2025 PE 29400.00	6/26/2025	PE	29400	75	1800	48123
N	D	NIFTY 26 JUN 2025 CE 28900.00	6/26/2025	CE	28900	75	1800	49498
N	D	NIFTY 26 JUN 2025 PE 28900.00	6/26/2025	PE	28900	75	1800	49499
N	D	NIFTY 26 JUN 2025 CE 28950.00	6/26/2025	CE	28950	75	1800	49500
N	D	NIFTY 26 JUN 2025 PE 28950.00	6/26/2025	PE	28950	75	1800	49502
N	D	NIFTY 26 JUN 2025 CE 29050.00	6/26/2025	CE	29050	75	1800	49505
N	D	NIFTY 26 JUN 2025 PE 29050.00	6/26/2025	PE	29050	75	1800	49506
N	D	NIFTY 26 JUN 2025 CE 29100.00	6/26/2025	CE	29100	75	1800	49507
N	D	NIFTY 26 JUN 2025 PE 29100.00	6/26/2025	PE	29100	75	1800	49508
N	D	NIFTY 26 JUN 2025 CE 28000.00	6/26/2025	CE	28000	75	1800	50537
